Refining reads of /home/patienza/oscars/erga/data/Canis_aureus/m64358e_220706_164001.reads.bam
Done IsoSeq refine.
Clustering
| 20260212 15:26:02.569 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260212 15:42:42.570 | INFO | Snapshot : 2574.0% / 83T / 11.2G
| 20260212 15:42:47.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:42:52.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:42:57.570 | INFO | Snapshot : 2575.8% / 83T / 11.2G
| 20260212 15:43:02.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:43:07.570 | INFO | Snapshot : 2575.6% / 83T / 11.2G
| 20260212 15:43:12.572 | INFO | Snapshot : 2575.0% / 83T / 11.2G
| 20260212 15:43:17.570 | INFO | Snapshot : 2575.6% / 83T / 11.2G
| 20260212 15:43:22.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:43:27.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:43:32.570 | INFO | Snapshot : 2575.0% / 83T / 11.2G
| 20260212 15:43:37.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:43:42.570 | INFO | Snapshot : 2575.0% / 83T / 11.2G
| 20260212 15:43:47.570 | INFO | Snapshot : 2574.6% / 83T / 11.2G
| 20260212 15:43:52.570 | INFO | Snapshot : 2574.8% / 83T / 11.2G
| 20260212 15:43:57.577 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:44:02.569 | INFO | Snapshot : 2576.2% / 83T / 11.2G
| 20260212 15:44:07.571 | INFO | Snapshot : 2576.5% / 83T / 11.2G
| 20260212 15:44:12.569 | INFO | Snapshot : 2576.4% / 83T / 11.2G
| 20260212 15:44:17.570 | INFO | Snapshot : 2576.4% / 83T / 11.2G
| 20260212 15:44:22.569 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:44:27.569 | INFO | Snapshot : 2576.9% / 83T / 11.2G
| 20260212 15:44:32.570 | INFO | Snapshot : 2576.9% / 83T / 11.2G
| 20260212 15:44:37.569 | INFO | Snapshot : 2576.2% / 83T / 11.2G
| 20260212 15:44:42.569 | INFO | Snapshot : 2577.4% / 83T / 11.2G
| 20260212 15:44:47.573 | INFO | Snapshot : 2577.3% / 83T / 11.2G
| 20260212 15:44:52.569 | INFO | Snapshot : 2576.4% / 83T / 11.2G
| 20260212 15:44:57.570 | INFO | Snapshot : 2577.0% / 83T / 11.2G
| 20260212 15:45:02.570 | INFO | Snapshot : 2576.4% / 83T / 11.2G
| 20260212 15:45:07.577 | INFO | Snapshot : 2577.0% / 83T / 11.2G
| 20260212 15:45:12.570 | INFO | Snapshot : 2577.2% / 83T / 11.2G
| 20260212 15:45:17.579 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:45:22.570 | INFO | Snapshot : 2576.6% / 83T / 11.2G
| 20260212 15:45:27.577 | INFO | Snapshot : 2572.4% / 83T / 11.2G
| 20260212 15:45:32.569 | INFO | Snapshot : 2573.0% / 83T / 11.2G
| 20260212 15:45:37.569 | INFO | Snapshot : 2569.9% / 83T / 11.2G
| 20260212 15:45:42.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:45:47.569 | INFO | Snapshot : 2570.6% / 83T / 11.2G
| 20260212 15:45:52.571 | INFO | Snapshot : 2572.5% / 83T / 11.2G
| 20260212 15:45:57.569 | INFO | Snapshot : 2566.3% / 83T / 11.2G
| 20260212 15:46:02.569 | INFO | Snapshot : 2572.5% / 83T / 11.2G
| 20260212 15:46:07.577 | INFO | Snapshot : 2551.9% / 83T / 11.2G
| 20260212 15:46:12.570 | INFO | Snapshot : 2573.6% / 83T / 11.2G
| 20260212 15:46:17.573 | INFO | Snapshot : 2545.9% / 83T / 11.2G
| 20260212 15:46:22.570 | INFO | Snapshot : 2573.9% / 83T / 11.2G
| 20260212 15:46:27.579 | INFO | Snapshot : 2565.4% / 83T / 11.2G
| 20260212 15:46:32.579 | INFO | Snapshot : 2574.8% / 83T / 11.2G
| 20260212 15:46:37.569 | INFO | Snapshot : 2509.3% / 83T / 11.2G
| 20260212 15:46:42.570 | INFO | Snapshot : 2573.2% / 83T / 11.2G
| 20260212 15:46:47.570 | INFO | Snapshot : 2457.8% / 83T / 11.2G
| 20260212 15:46:52.570 | INFO | Snapshot : 2573.6% / 83T / 11.2G
| 20260212 15:46:57.573 | INFO | Snapshot : 2574.5% / 83T / 11.2G
| 20260212 15:47:02.570 | INFO | Snapshot : 2441.5% / 83T / 11.2G
| 20260212 15:47:07.570 | INFO | Snapshot : 2573.8% / 83T / 11.2G
| 20260212 15:47:12.569 | INFO | Snapshot : 2510.2% / 83T / 11.2G
| 20260212 15:47:17.575 | INFO | Snapshot : 2574.0% / 83T / 11.2G
| 20260212 15:47:22.569 | INFO | Snapshot : 2511.3% / 83T / 11.2G
| 20260212 15:47:27.570 | INFO | Snapshot : 2573.2% / 83T / 11.2G
| 20260212 15:47:32.569 | INFO | Snapshot : 2564.0% / 83T / 11.2G
| 20260212 15:47:37.570 | INFO | Snapshot : 2573.4% / 83T / 11.2G
| 20260212 15:47:42.577 | INFO | Snapshot : 2561.4% / 83T / 11.2G
| 20260212 15:47:47.572 | INFO | Snapshot : 2574.2% / 83T / 11.2G
| 20260212 15:47:52.571 | INFO | Snapshot : 2569.7% / 83T / 11.2G
| 20260212 15:47:57.570 | INFO | Snapshot : 2575.1% / 83T / 11.2G
| 20260212 15:48:02.569 | INFO | Snapshot : 2574.6% / 83T / 11.2G
| 20260212 15:48:07.569 | INFO | Snapshot : 2575.3% / 83T / 11.2G
| 20260212 15:48:12.572 | INFO | Snapshot : 2574.4% / 83T / 11.3G
| 20260212 15:48:17.577 | INFO | Snapshot : 2577.2% / 83T / 11.3G
| 20260212 15:48:22.570 | INFO | Snapshot : 2577.0% / 83T / 11.3G
| 20260212 15:48:25.444 | INFO | Map back              : 9m 4s 
| 20260212 15:48:25.837 | INFO | Merge clusters
| 20260212 15:48:27.569 | INFO | Snapshot : 300.0% / 3T / 11.6G
| 20260212 15:48:28.187 | INFO | Clustering            : 2s 348ms 
| 20260212 15:48:28.197 | INFO | Map back, break
| 20260212 15:48:32.569 | INFO | Snapshot : 100.6% / 83T / 17.3G
| 20260212 15:48:37.570 | INFO | Snapshot : 1610.3% / 83T / 24.5G
| 20260212 15:48:42.570 | INFO | Snapshot : 2101.5% / 83T / 30.9G
| 20260212 15:48:47.569 | INFO | Snapshot : 1978.3% / 83T / 32.3G
| 20260212 15:48:52.569 | INFO | Snapshot : 1930.1% / 83T / 31.3G
| 20260212 15:48:57.569 | INFO | Snapshot : 1891.9% / 83T / 31.2G
| 20260212 15:49:02.569 | INFO | Snapshot : 1849.9% / 83T / 29.5G
| 20260212 15:49:07.570 | INFO | Snapshot : 1864.1% / 83T / 29.2G
| 20260212 15:49:12.570 | INFO | Snapshot : 1846.1% / 83T / 28.2G
| 20260212 15:49:17.569 | INFO | Snapshot : 1812.5% / 83T / 28.5G
| 20260212 15:49:22.571 | INFO | Snapshot : 1795.0% / 83T / 28.0G
| 20260212 15:49:27.569 | INFO | Snapshot : 1792.0% / 83T / 27.7G
| 20260212 15:49:32.569 | INFO | Snapshot : 1774.1% / 83T / 26.4G
| 20260212 15:49:37.570 | INFO | Snapshot : 1770.6% / 83T / 27.3G
