Run 'mamba init' to be able to run mamba activate/deactivate
and start a new shell session. Or use conda to activate/deactivate.

Files merged, running cluster
| 20260505 14:35:26.719 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260505 14:56:21.720 | INFO | Snapshot : 1382.3% / 164T / 6.6G
| 20260505 14:56:26.720 | INFO | Snapshot : 1408.1% / 164T / 7.1G
| 20260505 14:56:31.719 | INFO | Snapshot : 1364.4% / 164T / 7.3G
| 20260505 14:56:36.719 | INFO | Snapshot : 1312.0% / 164T / 7.6G
| 20260505 14:56:41.720 | INFO | Snapshot : 1502.0% / 164T / 7.9G
| 20260505 14:56:46.720 | INFO | Snapshot : 1462.3% / 164T / 8.3G
| 20260505 14:56:51.726 | INFO | Snapshot : 1412.7% / 164T / 8.6G
| 20260505 14:56:56.720 | INFO | Snapshot : 1506.7% / 164T / 8.9G
| 20260505 14:57:01.720 | INFO | Snapshot : 1285.3% / 164T / 9.2G
| 20260505 14:57:06.720 | INFO | Snapshot : 1311.9% / 164T / 9.5G
| 20260505 14:57:11.720 | INFO | Snapshot : 1392.4% / 164T / 9.8G
| 20260505 14:57:16.719 | INFO | Snapshot : 1253.4% / 164T / 10.1G
| 20260505 14:57:20.272 | INFO | Consensus             : 1m 44s 
| 20260505 14:57:21.720 | INFO | Snapshot : 894.4% / 83T / 10.4G
| 20260505 14:57:22.056 | INFO | Sketch clusters
| 20260505 14:57:26.727 | INFO | Snapshot : 2292.8% / 83T / 10.4G
| 20260505 14:57:31.726 | INFO | Snapshot : 2395.9% / 83T / 10.5G
| 20260505 14:57:36.732 | INFO | Snapshot : 2331.6% / 83T / 10.5G
| 20260505 14:57:41.731 | INFO | Snapshot : 2410.7% / 83T / 10.6G
| 20260505 14:57:43.184 | INFO | Sketch clusters       : 21s 128ms 
| 20260505 14:57:46.720 | INFO | Snapshot : 300.0% / 3T / 11.0G
| 20260505 14:57:46.747 | INFO | Map back
| 20260505 14:57:51.727 | INFO | Snapshot : 2128.1% / 83T / 11.4G
| 20260505 14:57:56.727 | INFO | Snapshot : 2003.2% / 83T / 11.5G
| 20260505 14:58:01.726 | INFO | Snapshot : 2023.4% / 83T / 11.5G
| 20260505 14:58:06.729 | INFO | Snapshot : 2013.0% / 83T / 11.5G
| 20260505 14:58:11.720 | INFO | Snapshot : 1988.3% / 83T / 11.5G
| 20260505 14:58:16.720 | INFO | Snapshot : 2035.1% / 83T / 11.5G
| 20260505 14:58:21.729 | INFO | Snapshot : 2017.1% / 83T / 11.5G
| 20260505 14:58:26.731 | INFO | Snapshot : 1988.2% / 83T / 11.5G
